[     140ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[     156ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2431
[ 3378248ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3381598ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3384965ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3388315ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3391675ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3399041ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3406404ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3413787ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3421153ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3428563ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3435952ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
[ 3443441ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=NoIuyezXWzQQkwN8sZ-pf' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13299
